iteration,max_cpd_delta,soft_fallback_count
1,0.6749020813587966,64
2,0.19224396455009984,0
3,0.141801406629313,0
4,0.10642162007092121,0
5,0.08055116869221507,0
6,0.07793787431953686,0
7,0.13468439405939725,0
8,0.16947581339606588,0
9,0.1541147820430419,0
10,0.04446630238066224,0
11,0.016210901809835587,0
12,0.019373254535103385,0
13,0.024086274767356086,0
14,0.030924672960016775,0
15,0.040555820827369915,0
16,0.05301773692254197,0
17,0.07046452233654427,0
18,0.10405451727823328,0
19,0.06863203753978922,0
20,0.026649227937795006,0
21,0.008992805362935452,0
22,0.004597364851039343,0
23,0.0023372509356898163,0
24,0.0016240957914436804,0
25,0.0012659700095085658,0
26,0.0010343523350400674,0
27,0.0008761319576502391,0
28,0.0007609853851426318,0
29,0.0006719144361626017,0
30,0.0005994228869036777,0
31,0.0005381531500907033,0
32,0.0004850103305323872,0
33,0.00043813607450610137,0
34,0.00039635305620189243,0
35,0.0003588655055994372,0
36,0.0003250976168788777,0
37,0.00029460581348317305,0
38,0.000267030509200461,0
39,0.0002420690250224955,0
40,0.00021945989794824872,0
41,0.0001989733849022124,0
42,0.00018040538985109045,0
43,0.00016357332837185767,0
44,0.00014831312658708518,0
45,0.0001344769146301994,0
46,0.0001219311690351943,0
47,0.00011055516310615188,0
48,0.00010023964140082331,0
49,9.088566610793158e-05,0
50,8.24036010693141e-05,0
