Tumour Size,Lymph nodes,Metastasis,Oestrogen,Age,Tumour Stage,Surgery,Adjuvant therapy,Survival > 10y,Pain Pre,Pain Post,Pain Follow,Virtual Evidence Pain,Fatigue Pre,Fatigue Post,Fatigue Follow,Virtual Evidence Fatigue,Body Image Pre,Body Image Post,Body Image Follow,Virtual Evidence Body Image,_weight
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,better,decreased,0.008957813
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,similar,decreased_or_similar,neutral,worse,better,decreased,0.011254688
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,better,decreased,0.016078125
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,better,decreased,0.004823438
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,similar,decreased,0.006967188
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,much_better,decreased_or_similar,neutral,worse,similar,decreased,0.009953125
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,similar,decreased,0.002985938
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,similar,decreased_or_similar,neutral,worse,similar,decreased,0.003751563
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,similar,decreased,0.005359375
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,similar,decreased,0.001607813
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,similar,worse,decreased,0.01194375
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,much_better,decreased_or_similar,neutral,similar,worse,decreased,0.0170625
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,similar,worse,decreased,0.00511875
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,similar,decreased_or_similar,neutral,similar,worse,decreased,0.00643125
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,similar,worse,decreased,0.0091875
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,similar,worse,decreased,0.00275625
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,better,decreased,0.010536094
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,much_better,decreased_or_similar,neutral,worse,better,decreased,0.015051563
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,better,decreased,0.004515469
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,similar,decreased_or_similar,neutral,worse,better,decreased,0.005673281
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,better,decreased,0.008104688
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,better,decreased,0.002431406
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,similar,decreased,0.005673281
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,much_better,decreased_or_similar,neutral,worse,similar,decreased,0.008104688
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,similar,decreased,0.002431406
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,similar,decreased_or_similar,neutral,worse,similar,decreased,0.003054844
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,similar,decreased,0.004364063
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,similar,decreased,0.001309219
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,similar,worse,decreased,0.000853125
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,much_better,decreased_or_similar,neutral,similar,worse,decreased,0.00121875
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,similar,worse,decreased,0.000365625
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,similar,decreased_or_similar,neutral,similar,worse,decreased,0.000459375
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,similar,worse,decreased,0.00065625
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,similar,worse,decreased,0.000196875
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,better,decreased,0.020901563
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,much_better,decreased_or_similar,neutral,worse,better,decreased,0.029859375
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,better,decreased,0.008957813
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,similar,decreased_or_similar,neutral,worse,better,decreased,0.011254688
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,better,decreased,0.016078125
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,better,decreased,0.004823438
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,similar,decreased,0.006967188
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,much_better,decreased_or_similar,neutral,worse,similar,decreased,0.009953125
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,similar,decreased,0.002985938
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,similar,decreased_or_similar,neutral,worse,similar,decreased,0.003751563
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,similar,decreased,0.005359375
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,similar,decreased,0.001607813
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,similar,worse,decreased,0.01194375
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,much_better,decreased_or_similar,neutral,similar,worse,decreased,0.0170625
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,similar,worse,decreased,0.00511875
